,event_type,img_id,loc_left,loc_top,time
0,initial-positions,img_1,840px,435px,1634202045.13
1,initial-positions,img_2,560px,450px,1634202045.131
2,initial-positions,img_2F,50px,230px,1634202045.133
3,initial-positions,img_3,50px,10px,1634202045.134
4,initial-positions,img_3F,840px,250px,1634202045.135
5,initial-positions,img_4,50px,440px,1634202045.137
6,initial-positions,img_5,350px,230px,1634202045.138
7,initial-positions,img_5F,50px,640px,1634202045.14
8,initial-positions,img_6,835px,635px,1634202045.141
9,initial-positions,img_6F,855px,10px,1634202045.141
10,initial-positions,img_B1,560px,670px,1634202045.142
11,initial-positions,img_B2,575px,25px,1634202045.144
12,mouseout,img_3F,840px,250px,1634202045.145
13,mouseover,img_6F,855px,10px,1634202045.146
14,mouseout,img_6F,855px,10px,1634202045.296
15,mouseover,img_6F,855px,10px,1634202045.297
16,mouseout,img_6F,855px,10px,1634202045.311
17,mouseover,img_6F,855px,10px,1634202045.312
18,mouseout,img_6F,855px,10px,1634202045.359
19,mouseover,img_6F,855px,10px,1634202045.359
20,mouseout,img_6F,855px,10px,1634202045.409
21,mouseover,img_6F,855px,10px,1634202055.616
22,mouseout,img_6F,855px,10px,1634202055.733
23,mouseover,img_3F,840px,250px,1634202055.734
24,mouseout,img_3F,840px,250px,1634202055.749
25,mouseover,img_3F,840px,250px,1634202055.751
26,mouseout,img_3F,840px,250px,1634202055.833
27,mouseover,img_1,840px,435px,1634202055.834
28,mouseout,img_1,840px,435px,1634202055.85
29,mouseover,img_1,840px,435px,1634202055.851
30,mouseout,img_1,840px,435px,1634202055.883
31,mouseover,img_1,840px,435px,1634202055.884
32,mouseout,img_1,840px,435px,1634202055.899
33,mouseover,img_6,835px,635px,1634202055.916
34,mouseout,img_6,835px,635px,1634202055.933
35,mouseover,img_6,835px,635px,1634202056.249
36,mouseout,img_6,835px,635px,1634202056.366
37,mouseover,img_6,835px,635px,1634202060.679
38,mouseout,img_6,835px,635px,1634202060.712
39,mouseover,img_1,840px,435px,1634202060.714
40,mouseout,img_1,840px,435px,1634202060.729
41,mouseover,img_1,840px,435px,1634202060.73
42,mouseout,img_1,840px,435px,1634202060.745
43,mouseover,img_1,840px,435px,1634202060.746
44,mouseout,img_1,840px,435px,1634202060.761
45,mouseover,img_1,840px,435px,1634202060.762
46,mouseout,img_1,840px,435px,1634202060.778
47,mouseover,img_1,840px,435px,1634202060.779
48,mouseout,img_1,840px,435px,1634202060.795
49,mouseover,img_1,840px,435px,1634202060.796
50,mouseout,img_1,840px,435px,1634202060.811
51,mouseover,img_1,840px,435px,1634202060.812
52,mouseout,img_1,840px,435px,1634202060.828
53,mouseover,img_3F,840px,250px,1634202060.83
54,mouseout,img_3F,840px,250px,1634202060.928
55,mouseover,img_5,350px,230px,1634202060.945
56,mouseout,img_5,350px,230px,1634202060.962
57,mouseover,img_B2,575px,25px,1634202060.995
58,mouseout,img_B2,575px,25px,1634202061.128
59,mouseover,img_5,350px,230px,1634202061.178
60,mouseout,img_5,350px,230px,1634202061.211
61,mouseover,img_5,350px,230px,1634202061.213
62,mouseout,img_5,350px,230px,1634202061.228
63,mouseover,img_5,350px,230px,1634202061.229
64,mouseout,img_5,350px,230px,1634202061.244
65,mouseover,img_5,350px,230px,1634202061.578
66,mouseout,img_5,350px,230px,1634202061.611
67,mouseover,img_5,350px,230px,1634202061.661
68,mouseout,img_5,350px,230px,1634202061.794
69,mouseover,img_5,350px,230px,1634202061.795
70,mouseout,img_5,350px,230px,1634202061.827
71,mouseover,img_5,350px,230px,1634202061.829
72,mouseout,img_5,350px,230px,1634202061.844
73,mouseover,img_5,350px,230px,1634202061.845
74,mouseout,img_5,350px,230px,1634202061.894
75,mouseover,img_3,50px,10px,1634202061.927
76,mouseout,img_3,50px,10px,1634202061.96
77,mouseover,img_3,50px,10px,1634202061.961
78,mouseout,img_3,50px,10px,1634202061.994
79,mouseover,img_3,50px,10px,1634202061.994
80,mouseout,img_3,50px,10px,1634202062.01
81,mouseover,img_3,50px,10px,1634202062.011
82,mouseout,img_3,50px,10px,1634202062.027
83,mouseover,img_3,50px,10px,1634202062.028
